id,lat,lng,horario,tipo,direccion
130,-34.60853,-58.37499, 08:00 a 21:00 hs,Centro de Carga,AV DE MAYO 603
131,-34.60898,-58.37955, 08:00 a 21:00 hs,Centro de Carga,AV DE MAYO 926
132,-34.59841,-58.4367, 08:00 a 21:00 hs,Centro de Carga,JUAN RAMIREZ DE VELAZCO 510
133,-34.60542,-58.43943, 08:00 a 21:00 hs,Centro de Carga,LEOPOLDO MARECHAL 1120
134,-34.59955,-58.4513, 08:00 a 21:00 hs,Centro de Carga,AV. JUAN B JUSTO 3226
135,-34.60382,-58.44481, 08:00 a 21:00 hs,Centro de Carga,CNEL APOLINARIO FIGUEROA 250
136,-34.60344,-58.43478, 08:00 a 21:00 hs,Centro de Carga,ANGEL GALLARDO 172
137,-34.60111,-58.43239, 08:00 a 21:00 hs,Centro de Carga,AGUIRRE 85
138,-34.59916,-58.43954, 08:00 a 21:00 hs,Centro de Carga,AV. CORRIENTES 5279
139,-34.61836,-58.42862, 08:00 a 20:00 hs,Centro de Carga,ROSARIO 6
140,-34.61,-58.44368, 09:30 a 21:30 hs,Centro de Carga,"AV. PUEYRREDON, HONORIO, DR. 892"
141,-34.60881,-58.43726, 00:00 a 00:00 hs,Centro de Carga,AV. DIAZ VELEZ 5000
142,-34.60458,-58.45857, 08:00 a 20:00 hs,Centro de Carga,"AV. JUSTO, JUAN B. 4010"
143,-34.70775,-58.4582, 08:00 a 20:00 hs,Centro de Carga,MOSOTI 1580
144,-34.62021,-58.44138, 06:00 a 21:00 hs,Centro de Carga,ESTACION PRIMERA JUNTA LINEA A  
145,-34.6212,-58.43494, 06:00 a 23:00 hs,Centro de Carga,FORMOSA 487
146,-34.60204,-58.43138, 06:00 a 23:00 hs,Centro de Carga,CORRIENTES 4672
147,-34.61581,-58.45878, 06:00 a 23:00 hs,Centro de Carga,NEUQUEN 1812
148,-34.62065,-58.44178, 06:00 a 23:00 hs,Centro de Carga,AV RIVADAVIA 5451
149,-34.65015,-58.49033, 00:00 a 23:00 hs,Centro de Carga,AV DIRECTORIO 491
150,-34.91236,-58.59508, 08:00 a 20:00 hs,Centro de Carga,SARMIENTO 22
151,-34.85613,-58.50151, 08:00 a 21:00 hs,Centro de Carga,GRAHANBELL 1150  -  CARLOS SPEGAZZI 1150
152,-34.9223,-58.60912, 06:00 a 23:00 hs,Centro de Carga,GHIACHINO 29
153,-34.60804,-58.56212, 06:00 a 20:00 hs,Centro de Carga,AV. LIBERTADOR GRAL. SAN MARTIN 2810
154,-34.60495,-58.56468, 08:00 a 20:00 hs,Centro de Carga,ANDRES FERREIRA 2502
155,-34.60529,-58.56385, 06:00 a 23:00 hs,Centro de Carga,3 DE FEBRERO  2537 2537
156,-34.61184,-58.5644, 06:00 a 23:00 hs,Centro de Carga,TRES DE FEBRERO 3183
157,-34.6504,-58.64175, 00:00 a 00:00 hs,Centro de Carga,"ARIAS, INOCENCIO, GDOR. 2352"
158,-34.80779,-58.27646, 08:00 a 22:00 hs,Centro de Carga,SALLARES 85
159,-34.80649,-58.29625, 08:00 a 20:00 hs,Centro de Carga,AV. 844 2692
160,-34.79044,-58.26299, 08:00 a 20:00 hs,Centro de Carga,AV. SENZABELLO 1560
161,-34.79115,-58.26764, 08:00 a 20:00 hs,Centro de Carga,GABRIELA MISTRAL 2099
162,-34.84556,-58.28118, 08:00 a 20:00 hs,Centro de Carga,PRAGA 1303
163,-34.78074,-58.2626, 08:00 a 20:00 hs,Centro de Carga,CAMINO GENERAL BELGRANO 6499
164,-34.81047,-58.27262, 08:00 a 20:00 hs,Centro de Carga,ALVERDI 3384
165,-34.80762,-58.302, 08:00 a 20:00 hs,Centro de Carga,ZONDA 1668
166,-34.79488,-58.23651, 08:00 a 20:00 hs,Centro de Carga,MONTEVIDEO 429
167,-34.80786,-58.27327, 06:00 a 23:00 hs,Centro de Carga,SALLARES 253
168,-34.79643,-58.27889, 06:00 a 23:00 hs,Centro de Carga,AV.SAN MARTIN 2019
169,-34.75104,-58.47848, 08:00 a 21:00 hs,Centro de Carga,GRAL JUAN FACUNDO QUIROGA 2252
170,-34.84554,-58.23016, 06:00 a 23:00 hs,Centro de Carga,CALLE 966 163
171,-34.80105,-58.23971, 06:00 a 23:00 hs,Centro de Carga,AV TTE. GENERAL JUAN DOMINGO PERÓN 2086
172,-34.78443,-58.17207, 06:00 a 23:00 hs,Centro de Carga,HUGO DEL CARRIL 4563
173,-34.7208,-58.41233, 06:00 a 23:00 hs,Centro de Carga,ALFONSINA STORNI 3624 3624
174,-34.75781,-58.22831, 06:00 a 23:00 hs,Centro de Carga,CALLE 1337 398
175,-34.79243,-58.28794, 06:00 a 23:00 hs,Centro de Carga,DIAGONA HERNAN CORTEZ 8
176,-34.61447,-58.52625, 06:00 a 23:00 hs,Centro de Carga,"AV. BEIRO, FRANCISCO 5389"
177,-34.5958,-58.5362, 06:00 a 23:00 hs,Centro de Carga,ROQUE PEÑA 3562
178,-34.61977,-58.47475, 08:00 a 20:00 hs,Centro de Carga,AV. NAZCA 1172
179,-34.60976,-58.48269, 08:00 a 20:00 hs,Centro de Carga,AV. NAZCA 2160
180,-34.6188,-58.64431, 06:00 a 23:00 hs,Centro de Carga,MALARREDO 443
181,-34.62499,-58.62191, 06:00 a 23:00 hs,Centro de Carga,HUSARES 671
